# lens_name ogle_db_id ra_j2000 dec_j2000 ews_ogle length 
PAR-01 BLG196.1.118200 18:04:48.79 -29:40:31.1 "" 2840.8
PAR-02 BLG205.3.159237 17:57:23.14 -28:46:32.0 2006-BLG-095 2306.4
PAR-03 BLG242.7.31173 18:08:0.42 -26:39:15.4 "" 2240.3
PAR-04 BLG342.5.73806 17:46:25.67 -22:51:37.3 "" 2225.4
PAR-05 BLG138.1.192949 17:46:35.45 -33:46:19.8 2004-BLG-361 1947.5
PAR-06 BLG225.8.163880 18:03:52.40 -27:54:1.3 2006-BLG-393 1566.3
PAR-07 BLG102.7.44461 17:55:59.44 -29:38:28.8 2005-BLG-474 1244.8
PAR-08 BLG130.1.122103 17:47:34.77 -34:25:50.3 2005-BLG-351 1223.2
PAR-09 BLG172.8.614 17:54:11.82 -31:31:57.9 "" 1141.5
PAR-10 BLG156.8.68730 17:54:4.49 -32:40:38.2 "" 1044.2
PAR-11 BLG197.3.171180 18:07:33.38 -29:20:16.2 2003-BLG-263 1030.3
PAR-12 BLG129.6.16369 17:42:58.78 -34:11:13.2 2005-BLG-059 991.0
PAR-13 BLG333.2.53483 17:35:55.95 -27:16:2.1 2002-BLG-061 972.9
PAR-14 BLG101.7.52163 17:53:28.47 -29:57:44.7 2008-BLG-318 970.6
PAR-15 BLG223.5.115009 17:58:27.13 -27:26:0.9 2008-BLG-096 935.2
PAR-16 BLG172.5.160833 17:54:55.05 -31:00:40.5 2003-BLG-032 928.9
PAR-17 BLG249.2.92350 18:06:6.30 -25:59:12.8 2008-BLG-157 927.8
PAR-18 BLG205.5.12205 17:56:7.08 -28:41:37.3 "" 848.8
PAR-19 BLG194.3.95955 17:51:48.90 -29:17:52.9 2005-BLG-372 826.8
PAR-20 BLG197.6.98763 18:06:59.34 -29:23:39.7 2008-BLG-098 800.9
PAR-21 BLG122.1.184151 17:50:4.59 -34:58:15.3 2006-BLG-005 790.3
PAR-22 BLG158.5.38090 18:00:20.30 -32:15:11.3 2002-BLG-334 755.1
PAR-23 BLG224.3.40806 18:02:53.14 -27:41:15.7 "" 747.5
PAR-24 BLG236.7.59423 18:09:13.92 -27:12:12.6 "" 747.2
PAR-25 BLG251.4.149142 18:11:29.35 -25:38:24.0 2005-BLG-036 747.1
PAR-26 BLG130.4.125656 17:47:27.03 -33:58:8.4 2006-BLG-020 745.9
PAR-27 BLG234.6.218982 18:04:45.71 -26:59:15.3 2005-BLG-086 735.4
PAR-28 BLG197.1.69448 18:07:41.45 -29:42:39.1 2005-BLG-020 716.7
PAR-29 BLG218.3.139976 18:08:46.04 -28:12:34.6 2006-BLG-031 680.6
PAR-30 BLG104.1.148712 17:59:44.30 -29:41:7.3 2008-BLG-545 677.8
PAR-31 BLG167.8.67944 18:02:41.84 -32:04:39.6 "" 672.0
PAR-32 BLG195.2.8006 17:53:55.65 -29:22:41.1 2008-BLG-223 667.1
PAR-33 BLG208.5.131806 18:04:4.02 -28:38:38.8 2006-BLG-251 661.0
PAR-34 BLG180.6.142446 17:51:38.96 -30:32:16.9 "" 604.5
PAR-35 BLG354.3.45010 17:35:25.94 -23:31:0.7 2003-BLG-297 583.9
PAR-36 BLG208.3.222797 18:06:21.76 -28:44:46.3 "" 555.0
PAR-37 BLG195.5.141274 17:53:16.57 -28:58:49.8 "" 552.4
PAR-38 BLG155.8.123452 17:51:25.67 -32:38:6.1 "" 510.9
PAR-39 BLG171.4.87121 17:53:34.61 -31:01:12.3 2008-BLG-013 505.2
PAR-40 BLG157.3.1531 17:57:54.73 -32:25:31.9 2005-BLG-454 492.5
PAR-41 BLG226.1.1251 18:07:8.81 -27:59:22.5 2003-BLG-459 467.3
PAR-42 BLG134.5.193547 17:56:59.79 -33:55:15.6 2005-BLG-061 463.1
PAR-43 BLG182.3.104094 17:58:30.91 -30:34:7.6 2009-BLG-049 459.7
PAR-44 BLG180.7.173170 17:51:21.97 -30:41:1.2 2007-BLG-282/2007-BLG-303 452.8
PAR-45 BLG226.8.198790 18:05:51.80 -27:52:23.3 2006-BLG-015 428.5
PAR-46 BLG156.2.110020 17:55:5.17 -32:28:51.4 2006-BLG-023 427.9
PAR-47 BLG179.2.183955 17:51:21.96 -30:41:1.2 2007-BLG-282/2007-BLG-303 417.3
PAR-48 BLG197.1.101151 18:07:8.11 -29:39:34.0 2008-BLG-375 410.8
PAR-49 BLG185.7.91655 18:05:34.74 -30:44:20.2 2007-BLG-035 398.1
PAR-50 BLG227.7.16177 18:08:41.73 -27:49:14.9 "" 338.3
PAR-51 BLG249.2.60315 18:06:34.67 -26:01:16.0 2003-BLG-175 333.6
PAR-52 BLG241.2.105532 18:07:5.68 -26:36:33.1 2008-BLG-038 325.6
PAR-53 BLG195.2.18171 17:54:5.53 -29:23:11.0 2004-BLG-070 323.3
PAR-54 BLG104.7.157693 17:58:29.56 -29:30:54.3 2006-BLG-366 322.4
PAR-55 BLG138.7.140195 17:45:11.29 -33:38:55.2 2006-BLG-061 318.2
PAR-56 BLG155.1.109582 17:52:23.34 -32:37:57.9 "" 296.5
PAR-57 BLG241.6.137439 18:05:24.43 -26:25:18.8 2007-BLG-349 261.5
PAR-58 BLG188.5.139006 17:57:58.60 -29:48:48.4 "" 216.7
PAR-59 BLG194.7.63636 17:49:44.34 -29:28:34.3 "" 115.4
